month,name,age,description,image,link
3,Mario Terán Salazar,80,O homem que matou “Che” Guevara,https://imagens.publico.pt/imagens.aspx/1680299?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/03/27/mundo/noticia/mario-teran-salazar-19412022-homem-matou-che-1999988
3,Jorge Santos,50,Pintor da natureza e das suas sombras,https://imagens.publico.pt/imagens.aspx/1680613?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/03/27/culturaipsilon/noticia/morreu-jorge-santos-19742022-pintor-natureza-sombras-2000338
3,Paul Herman,76,Actor de Os Sopranos e filmes de Martin Scorsese,https://imagens.publico.pt/imagens.aspx/1682014?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/03/31/culturaipsilon/noticia/morreu-paul-herman-actor-sopranos-filmes-martin-scorsese-2000867
3,Patrick Demarchelier,78,O fotógrafo que captou a alma da princesa Diana,https://imagens.publico.pt/imagens.aspx/1682309?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/01/impar/noticia/morreu-patrick-demarchelier-fotografo-captou-alma-princesa-diana-2000963
3,Stephen E. Wilhite,74,Programador informático que inventou o GIF,https://imagens.publico.pt/imagens.aspx/1682662?tp=UH&db=IMAGENS&type=GIF&w=500&act=resize,https://www.publico.pt/2022/04/03/tecnologia/noticia/stephen-wilhite-19482022-homem-inventou-ensinou-dizer-gif-2000982
4,Estelle Harris,93,A mãe de George Costanza em Seinfeld,https://imagens.publico.pt/imagens.aspx/1682907?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/03/culturaipsilon/noticia/morreu-estelle-harris-mae-george-costanza-seinfeld-voz-toy-story-2001189
4,Lygia Fagundes Telles,98,A grande dama da literatura brasileira,https://imagens.publico.pt/imagens.aspx/1682967?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/03/culturaipsilon/noticia/morreu-lygia-fagundes-telles-dama-literatura-brasileira-2001215
4,António Reis,77,Co-fundador da companhia de teatro do Porto,https://imagens.publico.pt/imagens.aspx/1683585?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/05/culturaipsilon/noticia/morreu-antonio-reis-rostos-iconicos-seiva-trupe-2001453
4,Salvador Guedes,64,Antigo presidente da Sogrape,https://imagens.publico.pt/imagens.aspx/1684784?tp=UH&db=IMAGENS&type=PNG&w=500&act=resize,https://www.publico.pt/2022/04/08/economia/noticia/morreu-salvador-guedes-antigo-lider-sogrape-2001902
4,Vladimir Jirinóvski,75,O expoente do ultranacionalismo russo,https://imagens.publico.pt/imagens.aspx/1684951?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/10/mundo/noticia/vladimir-jirinovski-19462022-expoente-ultranacionalismo-russo-previu-invasao-ucrania-2001921
