month,name,age,description,image,link,status
11,Almeno Gonçalves,66,“Uma onda calorosa” no palco,https://imagens.publico.pt/imagens.aspx/2048350?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/27/culturaipsilon/noticia/morreu-actor-almeno-goncalves-deixa-obra-acabar-2156238,Publicado
11,Alice e Ellen Kessler,89,Duas vidas numa só,https://imagens.publico.pt/imagens.aspx/2048910?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/30/mundo/noticia/alice-ellen-kessler-19362025-duas-vidas-so-2155762,Publicado
11,António Mota,71,O engenheiro que internacionalizou a Mota-Engil,https://imagens.publico.pt/imagens.aspx/2049091?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/30/economia/noticia/morreu-antonio-mota-antigo-lider-mota-engil-2156575,Publicado
11,António José de Barros Veloso,95,O médico e músico que fez história no jazz,https://imagens.publico.pt/imagens.aspx/2049225?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/01/culturaipsilon/noticia/antonio-jose-barros-veloso-19302025-medico-musico-fez-historia-jazz-2156660,Publicado
12,Manuel Pedro,94,O antifascista “sempre disposto a uma graça”,https://imagens.publico.pt/imagens.aspx/2049215?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/01/politica/noticia/manuel-pedro-19312025-antifascista-disposto-graca-cineclubes-2156642,Publicado
12,Constança Cunha e Sá,67,Jornalista e comentadora televisiva,https://imagens.publico.pt/imagens.aspx/2049291?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/02/politica/noticia/morreu-jornalista-constanca-cunha-sa-67-anos-2156697,Publicado
12,Steve Cropper,84,A guitarra da Stax,https://imagens.publico.pt/imagens.aspx/2050108?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/04/culturaipsilon/noticia/steve-cropper-19412025-guitarra-stax-2156976,Publicado
12,Frank Gehry,96,O arquitecto-estrela que curvou as cidades,https://imagens.publico.pt/imagens.aspx/2050700?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/05/culturaipsilon/noticia/morreu-frank-gehry-arquitecto-estrela-curvou-cidades-2157232,Publicado
12,Robert L. Stirm,92,"Um homem, uma fotografia",https://imagens.publico.pt/imagens.aspx/2049626?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/07/mundo/noticia/robert-l-stirm-19332025-homem-fotografia-2156814,Publicado
12,Martin Parr,73,Fotógrafo da maravilhosa banalidade,https://imagens.publico.pt/imagens.aspx/2050977?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/07/culturaipsilon/noticia/morreu-martin-parr-fotografo-maravilhosa-banalidade-2157336,Publicado
12,Anita Guerreiro,89,Fadista e actriz que sempre teve o fado na alma,https://imagens.publico.pt/imagens.aspx/2050989?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/07/culturaipsilon/noticia/anita-guerreiro-19362025-fadista-actriz-fado-alma-2157342,Publicado
12,Rui Luís Pereira,72,Guitarrista que todos conheciam por Dudas,https://imagens.publico.pt/imagens.aspx/2051240?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/09/culturaipsilon/noticia/morreu-rui-luis-pereira-guitarrista-musica-conheciam-dudas-2157512,Publicado
12,Clara Pinto Correia,65,Uma vida entre a ficção e a ciência,https://imagens.publico.pt/imagens.aspx/2051398?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/09/culturaipsilon/noticia/clara-pinto-correia-19602025-vida-ficcao-ciencia-2157585,Publicado
12,Glória de Matos,89,A actriz que ocupava o palco com um só olhar,https://imagens.publico.pt/imagens.aspx/2051848?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/11/culturaipsilon/noticia/gloria-matos-19362025-actriz-formou-nova-geracao-actores-ocupava-palco-so-olhar-2157791,Publicado
12,Charles Norman Shay,101,No tempo em que havia América,https://imagens.publico.pt/imagens.aspx/2051611?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/14/mundo/noticia/charles-norman-shay-19242025-tempo-america-2157549,Publicado
12,Nuno Rodrigues,76,Fundador da Banda do Casaco,https://imagens.publico.pt/imagens.aspx/2052450?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/14/culturaipsilon/noticia/morreu-nuno-rodrigues-fundador-banda-casaco-2158051,Publicado
12,Rob Reiner,78,O “cabeça de abóbora” que conquistou Hollywood,https://imagens.publico.pt/imagens.aspx/2052662?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/12/15/culturaipsilon/noticia/rob-reiner-19472025-cabeca-abobora-conquistou-hollywood-2158164,Publicado
,,,,https://imagens.publico.pt/imagens.aspx/0000000?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,,
,,,,https://imagens.publico.pt/imagens.aspx/0000000?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,,
